                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.5142,                 1.0845,                 1.6967,                0.74418,                0.71324,                0.75341,                0.33757,                 1.8851,                 1.1976,                 2.2491,             0.00055578,             0.00055578,             0.00055578
                    104,                 1.5051,                 1.0676,                 1.6949,                0.67611,                0.70634,                0.70684,                0.31761,                 1.9096,                 1.2229,                 2.2569,             0.00054478,             0.00054478,             0.00054478
                    105,                 1.4495,                 1.0199,                 1.6516,                0.73584,                0.70702,                0.73674,                0.34084,                 1.8611,                 1.1643,                 2.2591,             0.00053377,             0.00053377,             0.00053377
                    106,                 1.4848,                 1.0643,                  1.673,                0.71756,                0.72186,                0.74492,                0.34185,                 1.8734,                 1.1775,                 2.2867,             0.00052277,             0.00052277,             0.00052277
                    107,                 1.4618,                 1.0223,                 1.6493,                0.70317,                0.69513,                0.72476,                  0.337,                 1.8513,                 1.1548,                 2.2703,             0.00051177,             0.00051177,             0.00051177
                    108,                 1.4885,                 1.0252,                 1.6924,                0.67459,                0.79292,                0.75182,                0.33946,                 1.9121,                 1.1631,                 2.2277,             0.00050077,             0.00050077,             0.00050077
                    109,                 1.4537,                 1.0153,                 1.6481,                0.71234,                0.72598,                0.73873,                0.33972,                 1.8564,                 1.1591,                  2.234,             0.00048976,             0.00048976,             0.00048976
                    110,                 1.4652,                 1.0027,                 1.6671,                0.71152,                0.71901,                0.73996,                0.34194,                 1.8684,                  1.187,                 2.2713,             0.00047876,             0.00047876,             0.00047876
                    111,                 1.4664,                0.96696,                 1.6569,                0.73017,                0.70857,                0.75215,                 0.3592,                 1.8449,                 1.1769,                 2.2062,             0.00046776,             0.00046776,             0.00046776
                    112,                 1.4505,                 0.9893,                 1.6489,                0.65665,                0.74702,                0.71189,                0.33628,                 1.8746,                  1.201,                  2.229,             0.00045676,             0.00045676,             0.00045676
                    113,                 1.4451,                 1.0122,                 1.6554,                0.74942,                0.70569,                0.74957,                0.34091,                 1.9219,                 1.1767,                 2.2798,             0.00044576,             0.00044576,             0.00044576
                    114,                 1.4463,                      1,                 1.6488,                0.70673,                0.75482,                0.77129,                0.35456,                 1.9182,                 1.1633,                 2.3323,             0.00043475,             0.00043475,             0.00043475
                    115,                 1.4611,                0.98074,                 1.6628,                0.70871,                0.73737,                0.77307,                0.35845,                 1.8973,                 1.1414,                 2.2691,             0.00042375,             0.00042375,             0.00042375
                    116,                 1.4274,                0.97755,                 1.6392,                0.74048,                0.72313,                0.77512,                0.34832,                 1.9289,                 1.1484,                 2.2708,             0.00041275,             0.00041275,             0.00041275
                    117,                 1.4227,                0.95844,                 1.6362,                0.66305,                0.78191,                0.75841,                0.34363,                 1.9234,                 1.1803,                 2.2809,             0.00040175,             0.00040175,             0.00040175
                    118,                 1.3979,                0.97466,                 1.6389,                0.71082,                0.75707,                0.75919,                0.32764,                 1.9288,                 1.2099,                 2.2823,             0.00039074,             0.00039074,             0.00039074
                    119,                 1.4093,                0.96252,                 1.6048,                0.73624,                0.76602,                0.78241,                0.35137,                 1.8925,                  1.129,                 2.3113,             0.00037974,             0.00037974,             0.00037974
                    120,                 1.3975,                0.95875,                 1.6312,                 0.6984,                 0.7613,                0.76686,                0.34473,                 1.9494,                 1.1537,                 2.3831,             0.00036874,             0.00036874,             0.00036874
                    121,                 1.4015,                0.95983,                 1.6204,                0.75616,                0.70156,                0.77974,                0.35487,                 1.8999,                 1.1745,                 2.3158,             0.00035774,             0.00035774,             0.00035774
                    122,                 1.3646,                0.95126,                 1.5995,                0.74222,                0.72544,                0.75091,                0.34768,                 1.9225,                 1.2121,                 2.3665,             0.00034674,             0.00034674,             0.00034674
                    123,                 1.3656,                0.93186,                 1.5883,                0.76284,                 0.7305,                0.74579,                0.33827,                 1.9347,                 1.1881,                 2.3673,             0.00033573,             0.00033573,             0.00033573
                    124,                 1.3975,                0.93981,                 1.6116,                0.66626,                0.76951,                0.74741,                0.33565,                 1.9159,                 1.2129,                 2.3673,             0.00032473,             0.00032473,             0.00032473
                    125,                 1.3389,                0.91922,                 1.5819,                0.73297,                0.74656,                0.75624,                0.33907,                 1.9001,                  1.183,                 2.3327,             0.00031373,             0.00031373,             0.00031373
                    126,                 1.3576,                0.93858,                 1.5889,                0.68453,                 0.7503,                0.77036,                0.35329,                    1.9,                  1.153,                 2.3516,             0.00030273,             0.00030273,             0.00030273
                    127,                 1.3344,                0.92827,                 1.5932,                0.77042,                0.74157,                0.77331,                0.35526,                 1.9107,                 1.1587,                  2.351,             0.00029172,             0.00029172,             0.00029172
                    128,                 1.4054,                0.93995,                 1.6319,                0.77345,                0.74151,                0.78661,                0.35098,                 1.9083,                 1.1374,                 2.3289,             0.00028072,             0.00028072,             0.00028072
                    129,                 1.3602,                0.92897,                 1.5914,                0.74766,                0.72466,                0.78851,                0.34149,                 1.9536,                 1.1432,                 2.3489,             0.00026972,             0.00026972,             0.00026972
                    130,                 1.3845,                0.91401,                 1.5861,                0.68471,                0.78512,                0.78336,                0.34683,                 1.9414,                 1.1459,                  2.368,             0.00025872,             0.00025872,             0.00025872
                    131,                 1.3477,                0.92671,                 1.5904,                0.77275,                0.75482,                0.79595,                0.35771,                 1.9111,                  1.116,                 2.3338,             0.00024772,             0.00024772,             0.00024772
                    132,                 1.3265,                 0.8985,                 1.5811,                0.75683,                0.73517,                0.78057,                0.35344,                 1.8993,                 1.1335,                 2.3569,             0.00023671,             0.00023671,             0.00023671
                    133,                 1.3129,                0.88037,                 1.5584,                0.72719,                0.76814,                0.78119,                0.35254,                 1.9147,                 1.1388,                  2.392,             0.00022571,             0.00022571,             0.00022571
                    134,                 1.3576,                0.89701,                 1.5828,                0.72426,                0.78018,                0.78887,                0.35029,                 1.9236,                  1.133,                 2.3836,             0.00021471,             0.00021471,             0.00021471
                    135,                 1.3423,                0.91941,                   1.59,                0.74457,                0.76032,                0.77828,                0.35234,                 1.9078,                 1.1242,                 2.3718,             0.00020371,             0.00020371,             0.00020371
                    136,                 1.3176,                0.86753,                 1.5504,                0.73459,                0.74885,                0.78125,                0.34618,                 1.9398,                 1.1487,                 2.3967,             0.00019271,             0.00019271,             0.00019271
                    137,                 1.3171,                0.89361,                 1.5689,                0.72932,                 0.7686,                0.76829,                0.34109,                  1.942,                  1.133,                 2.4201,              0.0001817,              0.0001817,              0.0001817
                    138,                 1.2836,                0.88205,                 1.5337,                0.74825,                0.74656,                0.77284,                0.33331,                 1.9383,                 1.1527,                 2.3745,              0.0001707,              0.0001707,              0.0001707
                    139,                 1.3505,                0.93072,                 1.6039,                0.75953,                0.75069,                0.78705,                0.34603,                 1.9404,                 1.1401,                 2.3977,              0.0001597,              0.0001597,              0.0001597
                    140,                 1.2667,                0.87601,                 1.5236,                0.76286,                0.77199,                0.78114,                0.34796,                 1.9312,                 1.1123,                 2.4109,              0.0001487,              0.0001487,              0.0001487
                    141,                 1.2793,                0.70877,                 1.5985,                0.76419,                0.78566,                0.78523,                0.35259,                 1.9374,                 1.1203,                  2.389,             0.00013769,             0.00013769,             0.00013769
                    142,                 1.2512,                0.66367,                 1.5873,                0.75708,                0.77456,                0.79523,                0.35241,                 1.9568,                 1.1237,                 2.4034,             0.00012669,             0.00012669,             0.00012669
                    143,                  1.241,                0.66564,                 1.5907,                0.73659,                0.76516,                0.79296,                0.35257,                 1.9466,                 1.1232,                 2.3888,             0.00011569,             0.00011569,             0.00011569
